title | rating
Amaren ideia | 9.8
Mujeres republicanas | 9.8
Soberano: Seis Vezes São Paulo | 9.5
For Queen and Country | 9.4
Invisible Circus: No Dress Rehearsal | 9.4
Kino moje malo | 9.4
Land of the Rising Fastball | 9.4
Moonshine to the Finish Line: An Unofficial History of NASCAR | 9.4
Nickel City Smiler | 9.4
Bots High | 9.3
Healing Neen | 9.3
Knut Sigve fra Folkestad | 9.3
My Sexuality: A Sensory Experience | 9.3
Silent Drum | 9.3
Tebaatusasula | 9.3
The Blessed Tree | 9.3
Zlin the lived Utopia | 9.3
37 Memories | 9.2
759 Dresden | 9.2
Africka Palma | 9.2
Chekhov for Children | 9.2
Die Haushaltshilfe | 9.2
Everything In-Between: The Story of Ellipse | 9.2
From the Midst of Pain | 9.2
Hurry Home | 9.2
Jen | 9.2
Kings of the Gambia | 9.2
Love on a Leash | 9.2
Mikis Theodorakis. Composer | 9.2
Mzungu (n.) White-Wanderer | 9.2
Poor No More | 9.2
Stairway from Hell | 9.2
Staying Gold | 9.2
Stvarnost je takva kakva je | 9.2
Sweet Science | 9.2
The Ballad of Frankie Silver | 9.2
The Black Roots of Salsa: The Emancipation of Cuban Rumba | 9.2
The Corners | 9.2
The Start of Dreams | 9.2
The Wall | 9.2
Tist' dan v tednu | 9.2
Townbiz | 9.2
When My Child Is Born | 9.2
Wimbledon Official Film 2010 | 9.2
A Not So Still Life | 9.1
All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall | 9.1
Can 1? | 9.1
Dhinveynugehithaamaigaa | 9.1
FC Chechnya | 9.1
Honor in the Valley of Tears | 9.1
Iamamiwhoami; in Concert | 9.1
Kisses, Chloe | 9.1
Love Equation | 9.1
My Champion | 9.1
My Name is Curtis | 9.1
Road to Pride | 9.1
Tunahaki | 9.1
U redu, pobedio sam | 9.1
Bambaziis samotxe | 9.0
Battle of the Bagpipes | 9.0
Blood Army | 9.0
Coming Off the DL | 9.0
Dirty Martini and the New Burlesque | 9.0
DranDeh | 9.0
Eagles: Return to Glory | 9.0
Follow Me | 9.0
Fool in a Bubble | 9.0
Gabriel | 9.0
My So-Called Enemy | 9.0
New Kids on the Block: Coming Home | 9.0
Padoties Aizliegts | 9.0
Pickled | 9.0
Señora de | 9.0
Sharkula: Diarrhea of a Madman | 9.0
Soi Dogs | 9.0
Step Away from the Stone | 9.0
The Runner from Ravenshead | 9.0
Under a Jarvis Moon | 9.0
Utopia in Four Movements | 9.0
Wild Ride | 9.0
Yeardley | 9.0
...EBONG KANNA | 8.9
Book Smugglers | 8.9
Bruce Springsteen and the E Street Band: London Calling - Live in Hyde Park | 8.9
CrossFit World Games: The Story of Annie and Sven | 8.9
Cut Poison Burn | 8.9
Draga gospa ilacka | 8.9
For Once in My Life | 8.9
Have You Heard from Johannesburg: Fair Play | 8.9
Help the World | 8.9
If I Should Fall | 8.9
John Henry: A Steel Driving Race Horse | 8.9
Journey from Zanskar | 8.9
Kupi jedan molim te! | 8.9
Lanfranchi's Memorial Discotheque | 8.9
Quitting | 8.9
Rabbit Fever | 8.9
Radiohead Live in Praha | 8.9
Slednecks 13 | 8.9
Somewhere Near Tapachula | 8.9
Sudden Death | 8.9
The Beekeepers | 8.9
The Children's War | 8.9
The Final Journey | 8.9
The Way He Makes Them Feel: A Michael Jackson Fan Documentary | 8.9
Urban Crazy | 8.9
A Journey to Etna | 8.8
A3D Ayumi Hamasaki Arena Tour 2009 A: Next Level | 8.8
Almost There | 8.8
American Greyhounds | 8.8
Astralis - Institution | 8.8
Boundaries | 8.8
Choctaw Code Talkers | 8.8
Confesiones de un Sicario | 8.8
En los pasos de Abraham | 8.8
Harvest of Loneliness | 8.8
Heroes Crossing | 8.8
How Can You Tell If the Little Fish Are Happy? | 8.8
Human Resources Documentary | 8.8
I Breathe | 8.8
